pattern,replacement
입에,입 
입은,입 
입을,입 
입이,입 
도에,도 
용에,용 
용은,용 
용을,용 
용과,용 
용의,용 
용으,용  
고가,고 
고의,고 
고는,고 
고를,고 
고와,고 
고에,고
단이,단   
단의,단 
단을,단 
단과,단 
단은,단 
단에,단 
천의,천 
천과,천 
사항입,사항 
자가,자 
자의,자 
자와,자 
자를,자 
심을,심 
심이,심 
심과,심 
택이,택 
택은,택 
택과,택 
택을,택 
소에,소 
소를,소 
템이,템 
템을,템 
템과,템 
템은,템 
동에,동 
동과,동 
교가,교 
교는,교 
교의,교 
교를,교 
교와,교 
교에,교 
수에,수 
수의,수 
수와,수 
체의,체 
체는,체 
체가,체 
체를,체 
체에,체 
체와,체 
금지2,금지 
수퍼트리,슈퍼트리 
죄가,죄 
죄는,죄 
죄의,죄 
죄를,죄 
실에,실 
실과,실 
실로,실  
명의,명 
명은,명 
명이,명 
명을,명 
명에,명 
수돗물믿고,수돗물 
불을,불 
불이,불 
불은,불 
불과,불 
불에,불 
면에,면 
면은,면 
면과,면 
난폭운,난폭운전 
업에,업 
업을,업 
업으,업 
단내,단 
원내,원 
물내,물 
로내,로 
한의,한 
한은,한 
한에,한 
한이,한 
한을,한 
땅에,땅 
땅을,땅 
땅과,땅 
땅이,땅 
땅으,땅  
점이,점 
점에,점 
치에,치 
치가,치 
치를,치 
치는,치 
법에,법 
법이,법 
법을,법 
법과,법 
법은,법 
건에,건 
건을,건 
건과,건 
건이,건 
줄을,줄  
줄이,줄 
줄은,줄 
줄과,줄 
줄에,줄 
위를,위 
위가,위 
위는,위 
위에,위 
위의,위 
립에,립 
립이,립 
립은,립 
립과,립 
립을,립 
무로,무 
무는,무 
무가,무 
무를,무 
무와,무 
읍간,읍 
읍에,읍 
읍이,읍 
읍은,읍 
읍과,읍 
읍을,읍 
선의,선 
선과,선 
번을,번 
번이,번 
번에,번 
번과,번 
비해,비 
벽에,벽 
벽은,벽 
벽을,벽 
벽과,벽 
벽이,벽 
종을,종 
종에,종 
종과,종 
제애,제 
제에,제 
제가,제 
제를,제 
제와,제
제의,제  
재를,재 
재가,재 
재는,재 
재에,재 
열이,열 
열과,열 
열에,열 
열을,열 
출과,출 
출은,출 
출에,출 
출이,출 
통을,통 
통에,통 
통이,통 
통좀,통 
페에,페 
페를,페 
페가,페 
페는,페 
크로,크 
크는,크 
크를,크 
크가,크 
크에,크 
크요,크 
회에,회 
스요,스 
스와,스 
풍에,풍 
풍은,풍 
풍이,풍 
풍을,풍 
풍과,풍 
풍의,풍 
목이,목 
목을,목 
목에,목 
목과,목 
목의,목 
구에,구 
사해,사 
정에,정 
정은,정 
정이,정 
정을,정 
량은,량 
량에,량 
량이,량 
량을,량  
정과,정 
정의,정 
독해,독 
독을,독 
독은,독 
독과,독 
독이,독 
간이,간 
간의,간 
간에,간 
간과,간 
간을,간 
칙에,칙 
칙을,칙 
칙이,칙 
칙과,칙 
트을,트 
트사이,트 
트와,트 
초를,초 
초가,초 
초의,초 
초에,초 
반을,반 
반에,반 
반의,반 
반과,반 
세에,세 
세는,세 
세와,세 
세를,세 
망의,망 
망이,망 
망에,망 
망은,망 
망을,망 
장입,장 
밭에,밭 
밭이,밭 
밭을,밭 
밭과,밭 
택에,택 
택의,택 
율에,율 
율이,율 
율과,율 
급에,급 
급을,급 
급은,급 
급이,급 
급과,급  
축에,축 
축을,축 
축과,축 
축이,축 
퍼가,퍼 
퍼는,퍼 
퍼의,퍼 
퍼와,퍼 
퍼에,퍼 
양에,양 
양은,양 
양을,양 
양과,양 
게의,게 
게를,게 
게가,게 
게와,게 
령이,령 
령은,령 
령과,령 
령을,령 
니를,니 
니가,니 
니와,니 
니에,니 
홀을,홀 
홀에,홀 
홀이,홀 
홀과,홀 
홀은,홀 
보를,보 
보가,보 
보는,보 
보의,보 
현에,현 
현이,현 
현을,현 
현은,현 
손에,손 
손을,손 
손이,손 
손과,손 
뢰에,뢰 
뢰를,뢰 
뢰가,뢰 
률과,률 
률을,률 
률이,률 
률에,률 
역에,역 
역을,역 
역이,역 
역과,역 
역은,역 
역의,역 
로를,로 
로로,로 
로쪽,로 
로입,로 
판을,판 
판에,판 
판과,판 
판이,판 
무에,무 
무가,무
무의,무 
금에,금 
금을,금 
금이,금 
금과,금 
금은,금 
금의,금 
영이,영 
영은,영 
영을,영 
영과,영 
영의,영 
산에,산 
산과,산 
산을,산 
리외,리 
장의,장 
장을,장 
장도,장 
남은,남 
남이,남 
남에,남 
남과,남 
압이,압 
압을,압 
압에,압 
압은,압 
길의,길 
길과,길 
이가,이 
이를,이 
이는,이 
이와,이 
이에,이 
둥이,둥 
둥을,둥 
둥에,둥 
둥은,둥 
좀해,좀 
준이,준 
준을,준 
준에,준 
준과,준 
준은,준 
설로,설 
설에,설 
판의,판 
식에,식 
량과,량 
량입,량 
당에,당 
당의,당 
당은,당 
당이,당 
당을,당 
도로오,도로 
b수녀회,수녀회 
입구로,입구 
입구는,입구 
입구와,입구 
입구가,입구 
획에,획 
take out,takeout 
약에,약 
약은,약 
약이,약 
라에,라 
라는,라 
라의,라 
라가,라 
서를,서 
서는,서 
서의,서 
서가,서 
서와,서 
서에,서 
익을,익 
익이,익 
익은,익 
익과,익 
익에,익 
들을,들 
들에,들 
들이,들 
들과,들 
들은,들 
들를,들  
장인가,장 
허수아비인가,허수바이 
적의,적 
적에,적 
미가,미 
미는,미 
미의,미 
미에,미 
미를,미 
신호등좀,신호등 
오염된,오염 
컨이,컨 
컨좀,컨 
컨을,컨 
컨과,컨 
컨에,컨 
새에,새 
새가,새 
새를,새 
새의,새 
새와,새 
새여,새 
밑에,밑 
밑이,밑 
밑을,밑 
밑과,밑 
일에,일 
일은,일 
일과,일 
일이,일 
껑을,껑 
껑이,껑 
껑과,껑 
껑에,껑 
션에,션 
션과,션 
애를,애 
애가,애 
애의,애 
애는,애 
애와,애 
의에,의 
감에,감 
감은,감 
감과,감 
감이,감 
감을,감 
눈에,눈 
눈을,눈 
눈과,눈 
눈좀,눈 
눈이,눈 
널을,널 
널이,널 
널과,널 
널은,널 
널에,널 
널좀,널 
수좀,수 
수해,수  
취가,취  
취는,취 
취의,취 
취와,취 
취를,취 
변에,변 
변이,변 
변과,변 
변을,변 
변은,변 
신이,신 
신을,신 
신과,신 
신에,신 
신은,신 
앙에,앙 
앙은,앙 
앙이,앙 
앙을,앙 
앙과,앙 
부에,부 
드에,드 
드는,드 
드가,드 
드를,드 
드의,드 
장애인붛법주차,장애인불법주정차 
가에,가 
가는,가 
가의,가 
가가,가 
가와,가 
가를,가 
록의,록 
록은,록 
록에,록 
록을,록 
록이,록 
석에,석 
석은,석 
석이,석 
석과,석 
석을,석 
쎈터,센터 
아동으,아동 
탑이,탑 
탑에,탑 
탑과,탑 
탑을,탑 
타의,타 
타는,타 
타가,타 
타다,타 
타와,타 
힐의,힐 
힐은,힐 
힐이,힐 
힐과,힐 
힐에,힐 
무단점거요,무단점거 
다가,다 
다는,다 
다에,다 
다를,다 
다와,다 
질에,질 
질이,질 
질은,질 
질과,질 
킨이,킨 
킨을,킨 
킨과,킨 
킨에,킨 
속은,속 
속이,속 
속을,속 
속에,속 
분에,분 
분과,분 
황은,황 
황이,황 
황을,황 
황에,황 
황과,황 
포에,포 
포의,포 
포와,포 
주차단속요,주차단속 
입구v,입구 
화를,화 
화는,화 
온의,온 
온이,온 
온은,온 
온에,온 
확을,확 
확이,확 
확은,확 
확에,확 
턴이,턴 
턴을,턴 
턴에,턴 
턴의,턴 
턴과,턴 
닥에,닥 
닥은,닥 
닥이,닥 
닥을,닥 
의무화히,의무하 
원있,원 
원입,원 
건설있,건설 
꽃을,꽃 
꽃이,꽃 
꽃에,꽃 
꽃은,꽃 
주물공장, 주물공장 
주물 공장, 주물공장 
담이,담 
담을,담 
담에,담 
담과,담 
담은,담 
얼이,얼 
얼은,얼 
얼에,얼 
얼과,얼 
령에,령 
재앙입,재앙 
래의,래 
래는,래 
래를,래 
래가,래 
래와,래 
비의,비 
비가,비 
비는,비 
비를,비 
비와,비 
비에게,비 
불소 수돗물, 불소수돗물 
강을,강 
강이,강 
강은,강 
강에,강 
강과,강 
수돗물불소, 불소수돗물 
모가,모 
모에,모 
급의,급 
급과,급 
소뒤,소 
소앞,소 
소좀,소 
항에,항 
항은,항 
항과,항 
항이,항 
연이,연 
연과,연 
대기업편의,대기업편 
뷰에,뷰 
뷰는,뷰 
뷰와,뷰 
뷰가,뷰 
뷰를,뷰 
매에,매 
매를,매 
매가,매 
매는,매 
추모의,추모 
패를,패 
패가,패 
패는,패 
패의,패 
패와,패 
경이,경 
경은,경 
경에,경 
경을,경 
철의,철 
화에,화 
화와,화 
철에,철 
철은,철 
철과,철 
게으트볼,게이트볼 
합이,합 
합에,합 
합을,합 
합과,합 
합은,합 
거에,거 
거는,거 
거가,거 
거를,거 
거와,거 
거나,거 
여에,여 
여는,여 
여와,여 
여를,여 
모입,모 
염을,염 
염이,염 
염에,염 
염은,염 
염과,염 
류가,류 
류와,류 
냄세,냄새 
산건,산 
산좀,산 
산의,산 
검을,검 
검이,검 
검에,검 
검과,검 
검은,검 
프가,프 
프는,프 
프의,프 
프를,프 
프와,프 
전에,전 
돈이,돈 
돈에,돈 
돈과,돈 
돈은,돈 
해해,해 
덮강아지,강아지 
횡단보도어,횡단보도 
울이,울 
울에,울 
울은,울 
울과,울 
막에,막 
막과,막 
브에,브 
논을,논 
품을,품 
키를,키 
번버스기사,버스기사 
증을,증 
착을,착 
객의,객 
조합의,조합 
쓰레기태우,쓰레기
착에,착 
액에,액 
자입,자 
설의,설 
촬영할,촬영 
러를,러 
러의,러 
러가,러 
러는,러 
러와,러 
입주에,입주 
입주전,입주 
년의,년 
년이,년 
년은,년 
년에,년 
년을,년 
결을,결 
결에,결 
스좀,스 
차와,차 
녘에,녘 
녘이,녘 
녘을,녘 
녘은,녘 
길좀,길 
촌에,촌 
록입,록 
턱이,턱 
감독의,감독 
방법의,방법 
관리해,관리 
관계나,관계 
관계의,관계 
동네에,동네 
측의,측 
못이,못 
흙이,흙 
식당과,식당 
시티의,시티 
락이,락 
락은,락 
락과,락 
락에,락 
상가쪽,상가 
만에,만 
만은,만 
만이,만 
만과,만 
만을,만 
쓰레기태우,쓰레기 
본을,본 
묹제,문제 
고통받,고통 
테스트용,테스트 
관리비에,관리비 
방식의,방식 
님도,님 
님과,님 
산불의,산불 
산불이,산불 
산불은,산불 
산불과,산불 
산불을,산불 
산불에,산불 
노총이,노총 
박이,박 
박을,박 
박은,박 
박에,박 
박과,박 
경찰관,경찰관 
경찰을,경찰 
경찰이,경찰 
경찰은,경찰 
경찰과,경찰 
운동장진영,운동장 
운동장쪽,운동장 
공원안,공원 
공원쪽,공원 
체증이,체증 
체증은,체증 
체증에,체증 
번호나,번호 
콜에,콜 
콜은,콜 
콜과,콜 
콜이,콜 
갓길,갓길 
거리였,거리 
멧돼지,멧돼지 
부과,부과 
산사태,산사태 
시끄러,시끄러 
을을,을 
엄마,엄마 
일본,일본 
전화,전화 
불편함,불편 
----------------,
도시만,도시 
도시에,도시 
brt,brt 
cctv,cctv 
횡단보도,횡단보도 
구역재개발,구역재개발 
확정하,확정 
주를,주 
주는,주 
주와,주 
주에,주 
봄엔,봄 
여름엔,여름 
가을엔,가을 
겨울엔,겨울 
성을,성 
성엔,성 
성은,성 
폐쇄,폐쇄 
항을,항 
킹을,킹 
킹이,킹 
킹과,킹 
킹에,킹 
킹은,킹 
안을,안 
나이스미추,나이스미추 
찰에,찰 
우에,우 
우는,우 
우와,우 
우를,우 
발을,발 
발은,발 
발이,발 
발에,발 
발과,발 
텔로,텔 
텔이,텔 
텔은,텔 
텔과,텔 
텔을,텔 
최를,최 
최에,최 
최가,최 
최는,최 
최의,최 
최와,최 
송에,송 
송은,송 
송에게,송 
송으로,송 
궁을,궁 
궁이,궁 
궁은,궁 
궁에,궁 
궁과,궁 
탕에,탕 
탕은,탕 
탕이,탕 
탕과,탕 
탕을,탕 
판은,판 
카메라,카메라 
물도,물 
행될,행 
임을,임 
거함,거함 
금액,금액 
계좌,계좌 
-------------,
개를,개 
개가,개 
개는,개 
작을,작 
작은,작 
작과,작 
취에,취 
음에,음 
음을,음 
음과,음 
격이,격 
견을,견 
라를,라 
환에,환 
환을,환 
환과,환 
환이,환 
왕으,왕 
유에,유 
부와,부 
액은,액 
역으,역 
말다툼,말다툼 
어를,어 
어는,어 
어와,어 
객을,객 
객과,객 
객은,객 
커를,커 
터로,터 
길로,길 
차해,차 
항가,항 
화도,화 
규로,규 
승해,승 
간은,간 
들도,들 
악을,악 
목은,목 
짜를,짜 
짜가,짜 
짜는,짜 
짜와,짜 
짜에,짜 
차할,차 
녀와,녀 
녀는,녀 
녀를,녀 
녀가,녀 
험이,험 
납을,납 
납이,납 
납은,납 
납과,납 
솔을,솔 
름이,름 
야를,야 
름에,름 
증은,증 
증이,증 
증에,증 
험을,험 
험에,험 
험은,험 
굴을,굴 
굴이,굴 
굴에,굴 
굴과,굴 
텔에,텔 
속터미널,고속터미널 
빠와,빠 
빠는,빠 
빠가,빠 
빠를,빠 
끼를,끼 
끼는,끼 
끼가,끼 
워가,워 
워는,워 
워를,워 
워에,워 
파크라,파크 
콤에,콤 
콤은,콤 
콤이,콤 
콤을,콤 
게에,게 
게을,게 
게밖,게 
뼈가,뼈 
뼈는,뼈 
뼈와,뼈 
뼈를,뼈 
릉에,릉 
릉은,릉 
릉을,릉 
릉과,릉 
좌가,좌 
좌는,좌 
좌를,좌 
좌와,좌 
조를,조 
조는,조 
조와,조 
기능이,기능 
회복무요,사회복무요 
사회복무요,사회복무요원 
패스로,패스 
콘이,콘 
콘은,콘 
콘을,콘 
콘에,콘 
공화당,공화당 
선으,선 
국할,국 
입할,입 
이렌, 싸이렌 
망보험금,사망보험금 
폰을,폰 
입해,입 
탄이,탄 
티는,티 
티에,티 
티를,티 
티와,티 
티가,티 
그린 PC,그린PC 
팀의,팀 
팀은,팀 
팀과,팀 
소각에,소각 
소각을,소각 
소각은,소각 
족에,족 
족은,족 
족이,족 
족과,족 
족을,족 
날에,날 
날은,날 
날과,날 
날이,날 
제나,제 
소와,소 
캔에,캔 
캔을,캔 
캔과,캔 
캔이,캔 
을에,을 
을은,을 
을과,을 
폰이,폰 
폰에,폰 
외에,외 
외는,외 
외를,외 
캡은,캡 
캡이,캡 
캡을,캡 
캡과,캡 
캡에,캡 
드와,드 
t를,t 
t역,t 
t은,t 
y로,y 
y에,y 
y를,y 
gle,gle 
m를,m 
m이,m 
뷰의,뷰 
직에,직 
직의,직 
직은,직 
필수입,필수 
납된,납 
철이,철 
음이,음 
음은,음 
슬에,슬 
슬은,슬 
슬이,슬 
영에,영 
람에,람 
람은,람 
람이,람 
람을,람 
람과,람 
현수막,현수막 
품에,품 
품은,품 
품이,품 
보에,보 
널의,널 
낮으,낮 
카를,카 
카와,카 
카는,카 
카에,카 
불법 옥외광고물,불법광고물 
불법 유동광고물,불법광고물 
쓰레기 방치,쓰레기방치 
투기 신고,투기신고 
도로 보수,도로보수 
램에,램 
램을,램 
램이,램 
램은,램 
램과,램 
보와,보 
표에,표 
계에,계 
언과,언 
언에,언 
언을,언 
--------,
처와,처 
처를,처 
처는,처 
처에,처 
아와,아 
롯데리아,롯데리아 
커에,커 
커는,커 
커와,커 
커가,커 
뇨에,뇨 
뇨는,뇨 
뇨를,뇨 
뇨가,뇨 
협에,협 
협이,협 
협은,협 
협과,협 
협을,협 
협에서,협 
짚을,짚 
짚이,짚 
짚과,짚 
짚에,짚 
종은,종 
종에서,종 
애완견,애완견 
션도,션 
킬은,킬 
킬이,킬 
킬에,킬 
킬과,킬 
드과,드 
뇨와,뇨 
노와,노 
노는,노 
노에,노 
노를,노 
러를,러 
러는,러 
러에,러 
러와,러 
러가,러 
템에,템 
템을,템 
템은,템 
템과,템 
갈취,갈취 
조성해,조성 
켓에,켓 
켓은,켓 
켓을,켓 
켓과,켓 
트코로,트코 
마스크,마스크 
학원,학원 
약국,약국 
캐시백,캐시백 
소음도,소음 
골든하버,골든하버 
신현동,신현원창동 
에절약,절약 
